epoch,test_accuracy,top5_acc,v2_acc,v4_acc,v10_acc
1,0.005,0.035,0.555,0.38,0.15
2,0.065,0.145,0.805,0.595,0.385
3,0.065,0.27,0.84,0.76,0.54
4,0.1,0.34,0.895,0.75,0.57
5,0.16,0.455,0.92,0.815,0.65
6,0.185,0.435,0.9,0.81,0.615
7,0.195,0.465,0.905,0.8,0.64
8,0.19,0.44,0.925,0.8,0.625
9,0.16,0.485,0.91,0.78,0.63
10,0.18,0.46,0.945,0.83,0.615
11,0.205,0.445,0.945,0.795,0.625
12,0.14,0.41,0.915,0.75,0.66
13,0.19,0.435,0.915,0.775,0.64
14,0.19,0.45,0.9,0.76,0.65
15,0.17,0.385,0.925,0.735,0.6
16,0.175,0.425,0.91,0.745,0.62
17,0.165,0.46,0.885,0.785,0.625
18,0.165,0.44,0.95,0.76,0.62
19,0.16,0.38,0.89,0.75,0.615
20,0.165,0.385,0.88,0.745,0.57
21,0.125,0.375,0.88,0.705,0.55
22,0.155,0.41,0.88,0.725,0.55
23,0.16,0.39,0.91,0.77,0.525
24,0.155,0.385,0.925,0.73,0.645
25,0.165,0.445,0.875,0.775,0.6
26,0.135,0.39,0.87,0.73,0.54
27,0.135,0.415,0.9,0.765,0.57
28,0.175,0.41,0.87,0.71,0.575
29,0.095,0.36,0.865,0.72,0.53
30,0.14,0.38,0.905,0.75,0.605
31,0.185,0.43,0.885,0.755,0.575
32,0.14,0.38,0.895,0.785,0.605
33,0.145,0.4,0.87,0.78,0.63
34,0.16,0.355,0.875,0.725,0.565
35,0.14,0.405,0.86,0.735,0.61
36,0.165,0.365,0.85,0.71,0.585
37,0.13,0.365,0.86,0.815,0.645
38,0.145,0.355,0.865,0.8,0.58
39,0.155,0.385,0.905,0.695,0.585
40,0.145,0.345,0.905,0.75,0.58
41,0.16,0.375,0.915,0.755,0.6
42,0.15,0.385,0.895,0.775,0.585
43,0.17,0.395,0.9,0.725,0.61
44,0.14,0.395,0.87,0.785,0.59
45,0.145,0.375,0.855,0.735,0.53
46,0.14,0.38,0.89,0.74,0.58
47,0.145,0.375,0.855,0.745,0.585
48,0.13,0.38,0.875,0.77,0.56
49,0.13,0.38,0.88,0.73,0.555
50,0.165,0.395,0.905,0.74,0.54
